2235,2037
4229,4037
6490,6287
8539,8336
10632,10433
12548,12350
14600,14405
16661,16464
18567,18371
21051,20860
22430,22237
24318,24123
26960,26764
29108,28911
30444,30243
32539,32342
34420,34221
37831,37630
40293,40095
41133,40930
43160,42961
45927,45722
48779,48575
51506,51298
53019,52816
116847,116639
58428,58223
58358,58156
60523,60321
62544,62319
64367,64161
85139,84881
77572,77344
70489,70286
72698,72495
148547,148323
94296,94042
77729,77533
83436,83239
80478,80280
82348,82145
98948,98706
103879,103656
157747,157543
90687,90490
93204,92985
95855,95651
96825,96632
98693,98497
100541,100345
206633,206358
141912,141651
108784,108581
110618,110419
125332,125111
114543,114341
183666,183464
117769,117573
119012,118758
122385,122188
123695,123495
125803,125605
200448,200238
131961,131747
184019,183751
185794,185497
180823,180565
209507,209303
139032,138835
140652,140450
142779,142580
216236,216036
147495,147296
149925,149727
151990,151791
153438,153206
289059,288801
231311,230999
239649,239355
237002,236692
250505,250289
173746,173540
174556,174350
176017,175813
256585,256372
183314,183104
183666,183457
188657,188433
344731,344422
310593,310237
422840,422352
370792,370485
196758,196548
198514,198307
199519,199313
285026,284814
201917,201714
205071,204866
329265,329009
297041,296759
307521,307188
539812,539368
442393,441927
212423,212201
302256,302053
216535,216331
217398,217194
220779,220572
367698,367492
304879,304630
470328,469966
486605,486096
406770,406431
450357,450025
301392,301109
238846,238644
327283,326957
237375,237172
239923,239721
335538,335330
336549,336245
388414,388098
472187,471873
359627,359324
561664,561279
406499,406188
303511,303266
356368,356149
259698,259501
357558,357356
263757,263550
287186,286953
550640,550315
413553,413266
518180,517847
518399,518061
521711,521323
635291,634914
314513,314319
373802,373611
266642,266456
382590,382398
285785,285589
370848,370595
525860,525578
623333,622911
750193,749750
445458,445167
812828,812357
510804,510496
443865,443656
297598,297406
298435,298239
422959,422734
577760,577473
822670,822200
724779,724357
873790,873308
707412,706986
786302,785920
372472,372256
475502,475299
332031,331830
479064,478859
461645,461352
870743,870302
767677,767215
926081,925673
767930,767516
931434,930991
618688,618271
518645,518366
357384,357184
519516,519308
663822,663532
739358,738903
950936,950541
510582,510299
728467,728141
823361,822887
1004219,1003787
604609,604279
561174,560969
374157,373957
588220,587975
836429,836070
852070,851617
1063522,1063077
861315,860824
987642,987231
957120,956759
563983,563682
780535,780261
399227,399017
621060,620824
569409,569096
959695,959292
1143073,1142600
896043,895615
1063608,1063187
996599,996236
914151,913676
960713,960404
415613,415401
673135,672930
828139,827847
948860,948360
1081825,1081406
1222901,1222473
807365,807009
1041653,1041255
774833,774483
1111505,1111127
857618,857372
435445,435236
766673,766437
977227,976843
995593,995158
1397619,1397251
1304636,1304142
1007698,1007251
1197576,1197174
1183520,1183106
632952,632652
764356,764152
858555,858302
1282953,1282565
1037970,1037524
1307951,1307478
1197668,1197238
942428,942020
1307619,1307166
1271587,1271178
824340,823555
825664,825459
875886,875642
1208787,1208427
921820,921409
1283286,1282894
1290802,1290363
1472241,1471735
1099962,1099554
1354962,1354552
1281470,1281111
1045474,1045210
499376,499175
1221779,1221466
1416295,1415899
1511697,1511255
