4,1709546200,96903,64,1709546200,96903,392,1709546200,96903,2045,1709546200,96903,1,1709546200,96903,64,1709546200,96903,102823,1709546200,96903,
0,1709643203,78919,64,1709643203,78919,392,1709643203,78919,2045,1709643203,78919,1,1709643203,78919,64,1709643203,78919,73655,1709643203,78919,
0,1709722189,72303,64,1709722189,72303,392,1709722189,72303,2045,1709722189,72303,1,1709722189,72303,64,1709722189,72303,73598,1709722189,72303,
0,1709794561,73645,64,1709794561,73645,392,1709794561,73645,2045,1709794561,73645,1,1709794561,73645,64,1709794561,73645,73689,1709794561,73645,
0,1709868316,73863,64,1709868316,73863,392,1709868316,73863,2045,1709868316,73863,1,1709868316,73863,64,1709868316,73863,73759,1709868316,73863,
792,1709942263,145734,53882,1709942263,145734,7112000,1709942263,145734,546944,1709942263,145734,25728,1709942263,145734,231552,1709942263,145734,19358201,1709942263,145734,0,1709942263,145734,64,1709942263,145734,392,1709942263,145734,2045,1709942263,145734,1,1709942263,145734,64,1709942263,145734,73507,1709942263,145734,
0,1710539889,97523,64,1710539889,97523,392,1710539889,97523,2045,1710539889,97523,1,1710539889,97523,64,1710539889,97523,101314,1710539889,97523,
0,1710637487,81166,64,1710637487,81166,392,1710637487,81166,2045,1710637487,81166,1,1710637487,81166,64,1710637487,81166,73501,1710637487,81166,
0,1710718716,74409,64,1710718716,74409,392,1710718716,74409,2045,1710718716,74409,1,1710718716,74409,64,1710718716,74409,73365,1710718716,74409,
0,1710793191,76050,64,1710793191,76050,392,1710793191,76050,2045,1710793191,76050,1,1710793191,76050,64,1710793191,76050,73415,1710793191,76050,
0,1710869346,75959,64,1710869346,75959,392,1710869346,75959,2045,1710869346,75959,1,1710869346,75959,64,1710869346,75959,73723,1710869346,75959,
812,1710945374,150078,53254,1710945374,150078,7112000,1710945374,150078,546944,1710945374,150078,25728,1710945374,150078,231552,1710945374,150078,19561186,1710945374,150078,0,1710945374,150078,64,1710945374,150078,392,1710945374,150078,2045,1710945374,150078,1,1710945374,150078,64,1710945374,150078,73629,1710945374,150078,
4,1711570528,98712,64,1711570528,98712,392,1711570528,98712,2045,1711570528,98712,1,1711570528,98712,64,1711570528,98712,101708,1711570528,98712,
0,1711669309,82989,64,1711669309,82989,392,1711669309,82989,2045,1711669309,82989,1,1711669309,82989,64,1711669309,82989,73651,1711669309,82989,
0,1711752361,76210,64,1711752361,76210,392,1711752361,76210,2045,1711752361,76210,1,1711752361,76210,64,1711752361,76210,73526,1711752361,76210,
0,1711828642,78741,64,1711828642,78741,392,1711828642,78741,2045,1711828642,78741,1,1711828642,78741,64,1711828642,78741,73701,1711828642,78741,
0,1711907485,78085,64,1711907485,78085,392,1711907485,78085,2045,1711907485,78085,1,1711907485,78085,64,1711907485,78085,73821,1711907485,78085,
832,1711985638,152380,53327,1711985638,152380,7112000,1711985638,152380,546944,1711985638,152380,25728,1711985638,152380,231552,1711985638,152380,19470254,1711985638,152380,0,1711985638,152380,64,1711985638,152380,392,1711985638,152380,2045,1711985638,152380,1,1711985638,152380,64,1711985638,152380,74041,1711985638,152380,
0,1712640412,100301,64,1712640412,100301,392,1712640412,100301,2045,1712640412,100301,1,1712640412,100301,64,1712640412,100301,98782,1712640412,100301,
0,1712740809,85148,64,1712740809,85148,392,1712740809,85148,2045,1712740809,85148,1,1712740809,85148,64,1712740809,85148,71315,1712740809,85148,
0,1712826022,80509,64,1712826022,80509,392,1712826022,80509,2045,1712826022,80509,1,1712826022,80509,64,1712826022,80509,71083,1712826022,80509,
0,1712906608,80071,64,1712906608,80071,392,1712906608,80071,2045,1712906608,80071,1,1712906608,80071,64,1712906608,80071,71155,1712906608,80071,
0,1712986751,78453,64,1712986751,78453,392,1712986751,78453,2045,1712986751,78453,1,1712986751,78453,64,1712986751,78453,71159,1712986751,78453,
828,1713065270,158961,53286,1713065270,158961,7112000,1713065270,158961,546944,1713065270,158961,25728,1713065270,158961,231552,1713065270,158961,19482237,1713065270,158961,0,1713065270,158961,64,1713065270,158961,392,1713065270,158961,2045,1713065270,158961,1,1713065270,158961,64,1713065270,158961,71544,1713065270,158961,
0,1713740760,99810,64,1713740760,99810,392,1713740760,99810,2045,1713740760,99810,1,1713740760,99810,64,1713740760,99810,102401,1713740760,99810,
0,1713840646,90870,64,1713840646,90870,392,1713840646,90870,2045,1713840646,90870,1,1713840646,90870,64,1713840646,90870,73333,1713840646,90870,
0,1713931583,80846,64,1713931583,80846,392,1713931583,80846,2045,1713931583,80846,1,1713931583,80846,64,1713931583,80846,73591,1713931583,80846,
0,1714012498,80574,64,1714012498,80574,392,1714012498,80574,2045,1714012498,80574,1,1714012498,80574,64,1714012498,80574,73499,1714012498,80574,
0,1714093140,80685,64,1714093140,80685,392,1714093140,80685,2045,1714093140,80685,1,1714093140,80685,64,1714093140,80685,73283,1714093140,80685,
809,1714173893,161446,53349,1714173893,161446,7112000,1714173893,161446,546944,1714173893,161446,25728,1714173893,161446,231552,1714173893,161446,19575842,1714173893,161446,0,1714173893,161446,64,1714173893,161446,392,1714173893,161446,2045,1714173893,161446,1,1714173893,161446,64,1714173893,161446,73553,1714173893,161446,
0,1714881947,101328,64,1714881947,101328,392,1714881947,101328,2045,1714881947,101328,1,1714881947,101328,64,1714881947,101328,100117,1714881947,101328,
0,1714983376,90875,64,1714983376,90875,392,1714983376,90875,2045,1714983376,90875,1,1714983376,90875,64,1714983376,90875,71094,1714983376,90875,
0,1715074373,82955,64,1715074373,82955,392,1715074373,82955,2045,1715074373,82955,1,1715074373,82955,64,1715074373,82955,71265,1715074373,82955,
