active_warps,262065,Execution time (us),15010,
active_warps,73371,Execution time (us),13255,
active_warps,73371,Execution time (us),21,
active_warps,73371,Execution time (us),9,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),24,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),6,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),6,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),23,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),6,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),6,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),6,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),6,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),6,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),6,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),12,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),6,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),6,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),10,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),6,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),6,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),6,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),6,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),8,
active_warps,73371,Execution time (us),6,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
active_warps,73371,Execution time (us),7,
